attributes.databaseEngine,attributes.deploymentOption,attributes.usagetype,attributes.regionCode,attributes.instanceType,attributes.instanceFamily,attributes.vcpu,attributes.clockSpeed,attributes.physicalProcessor,attributes.memory,attributes.storage,attributes.networkPerformance,attributes.processorArchitecture,attributes.databaseEdition,attributes.licenseModel,attributes.instanceTypeFamily,attributes.normalizationSizeFactor,attributes.dedicatedEbsThroughput,attributes.enhancedNetworkingSupported,attributes.processorFeatures,pricePerUnit
Aurora PostgreSQL,Single-AZ,EU-InstanceUsage:db.t4g.medium,eu-west-1,db.t4g.medium,General purpose,2,,AWS Graviton2,4 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,2,,,,0.0780000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.m5.8xl,eu-west-1,db.m5.8xlarge,General purpose,32,,Intel Xeon Platinum 8175,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M5,64,,,,3.1520000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.t3.2xl,eu-west-1,db.t3.2xlarge,General purpose,8,,Intel Skylake E5 2686 v5 (2.5 GHz),32 GiB,EBS Only,Moderate,64-bit,,No license required,T3,32,,,,1.2480000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.m6i.24xl,eu-west-1,db.m6i.24xlarge,General purpose,96,,Intel Xeon Scalable Ice Lake,384 GiB,EBS Only,37.5 Gbps,x86,,No license required,M6i,384,,,,18.9120000000
MySQL,Single-AZ,EU-InstanceUsage:db.m5.2xl,eu-west-1,db.m5.2xlarge,General purpose,8,2.5 GHz,Intel Xeon Platinum 8175,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,16,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",0.7560000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.x2g.xlarge,eu-west-1,db.x2g.xlarge,Memory optimized,4,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,16,,,,1.5640000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.m6i.xl,eu-west-1,db.m6i.xlarge,General purpose,4,,Intel Xeon Scalable Ice Lake,16 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,16,,,,0.7880000000
MySQL,Single-AZ,EU-InstanceUsage:db.x2g.8xlarge,eu-west-1,db.x2g.8xlarge,Memory optimized,32,,AWS Graviton2,512 GiB,EBS Only,12 gigabit,64-bit,,No license required,X2G,64,,,,6.2560000000
MySQL,Single-AZ,EU-InstanceUsage:db.t3.micro,eu-west-1,db.t3.micro,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),1 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,0.5,,,,0.0180000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.m6g.16xl,eu-west-1,db.m6g.16xlarge,General purpose,64,,AWS Graviton2,256 GiB,EBS Only,25 Gigabit,64-bit,,No license required,M6G,256,,,,10.7520000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.m5.8xl,eu-west-1,db.m5.8xlarge,General purpose,32,,Intel Xeon Platinum 8175,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M5,128,,,,6.0500000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.r6g.8xl,eu-west-1,db.r6g.8xlarge,Memory optimized,32,,AWS Graviton2,256 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R6G,128,,,,8.0570000000
MySQL,Single-AZ,EU-InstanceUsage:db.m6i.large,eu-west-1,db.m6i.large,General purpose,2,,Intel Xeon Scalable Ice Lake,8 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,4,,,,0.1890000000
MySQL,Single-AZ,EU-InstanceUsage:db.m6i.2xl,eu-west-1,db.m6i.2xlarge,General purpose,8,,Intel Xeon Scalable Ice Lake,32 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,16,,,,0.7560000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.x2g.4xlarge,eu-west-1,db.x2g.4xlarge,Memory optimized,16,,AWS Graviton2,256 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,64,,,,6.2560000000
MySQL,Single-AZ,EU-InstanceUsage:db.t4g.micro,eu-west-1,db.t4g.micro,General purpose,2,,AWS Graviton2,1 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,0.5,,,,0.0170000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.m6i.2xl,eu-west-1,db.m6i.2xlarge,General purpose,8,,Intel Xeon Scalable Ice Lake,32 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,32,,,,1.5760000000
MySQL,Single-AZ,EU-InstanceUsage:db.r6i.large,eu-west-1,db.r6i.large,Memory optimized,2,,Intel Xeon Scalable Ice Lake,16 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,R6i,4,,,,0.2650000000
Aurora PostgreSQL,Single-AZ,EU-InstanceUsage:db.r6i.16xl,eu-west-1,db.r6i.16xlarge,Memory optimized,64,,Intel Xeon Scalable Ice Lake,512 GiB,EBS Only,25 Gbps,x86,,No license required,R6i,128,,,,10.2400000000
MySQL,Multi-AZ (readable standbys),EU-Multi-AZClusterUsage:db.m6gd.2xl,eu-west-1,db.m6gd.2xlarge,General purpose,8,,AWS Graviton2,32 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit,64-bit,,No license required,M6GD,48,,,,2.3090000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.t3.micro,eu-west-1,db.t3.micro,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),1 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,0.5,,,,0.0200000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.x2g.12xlarge,eu-west-1,db.x2g.12xlarge,Memory optimized,48,,AWS Graviton2,768 GiB,EBS Only,20 Gigabit,64-bit,,No license required,X2G,192,,,,18.7680000000
MySQL,Single-AZ,EU-InstanceUsage:db.m6i.24xl,eu-west-1,db.m6i.24xlarge,General purpose,96,,Intel Xeon Scalable Ice Lake,384 GiB,EBS Only,37.5 Gbps,x86,,No license required,M6i,192,,,,9.0720000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.r6i.4xl,eu-west-1,db.r6i.4xlarge,Memory optimized,16,,Intel Xeon Scalable Ice Lake,128 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,R6i,64,,,,4.2400000000
PostgreSQL,Multi-AZ (readable standbys),EU-Multi-AZClusterUsage:db.m6gd.xl,eu-west-1,db.m6gd.xlarge,General purpose,4,,AWS Graviton2,16 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit,64-bit,,No license required,M6GD,24,,,,1.1540000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.r6g.large,eu-west-1,db.r6g.large,Memory optimized,2,,AWS Graviton2,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,8,,,,0.4740000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.m6i.large,eu-west-1,db.m6i.large,General purpose,2,,Intel Xeon Scalable Ice Lake,8 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,4,,,,0.1970000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.m6i.8xl,eu-west-1,db.m6i.8xlarge,General purpose,32,,Intel Xeon Scalable Ice Lake,128 GiB,EBS Only,12.5 Gbps,x86,,No license required,M6i,128,,,,6.3040000000
Aurora MySQL,Single-AZ,EU-InstanceUsage:db.r5.12xl,eu-west-1,db.r5.12xlarge,Memory optimized,48,Up to 3.1 GHz,Intel Xeon Platinum 8175,384 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R5,96,7000 Mbps,Yes,,7.6800000000
MySQL,Single-AZ,EU-InstanceUsage:db.r5.xl,eu-west-1,db.r5.xlarge,Memory optimized,4,Up to 3.1 GHz,Intel Xeon Platinum 8175,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,8,Up to 3500 Mbps,Yes,,0.5300000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.t4g.large,eu-west-1,db.t4g.large,General purpose,2,,AWS Graviton2,8 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,8,,,,0.2770000000
Aurora MySQL,Single-AZ,EU-InstanceUsage:db.r6g.8xl,eu-west-1,db.r6g.8xlarge,Memory optimized,32,,AWS Graviton2,256 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R6G,64,,,,4.5820000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.x2g.large,eu-west-1,db.x2g.large,Memory optimized,2,,AWS Graviton2,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,8,,,,0.7820000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.m5.8xl,eu-west-1,db.m5.8xlarge,General purpose,32,,Intel Xeon Platinum 8175,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M5,128,,,,6.3040000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.x2g.xlarge,eu-west-1,db.x2g.xlarge,Memory optimized,4,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,8,,,,0.7820000000
Aurora MySQL,Single-AZ,EU-InstanceUsage:db.x2g.4xlarge,eu-west-1,db.x2g.4xlarge,Memory optimized,16,,AWS Graviton2,256 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,32,,,,3.5520000000
MySQL,Single-AZ,EU-InstanceUsage:db.m6i.4xl,eu-west-1,db.m6i.4xlarge,General purpose,16,,Intel Xeon Scalable Ice Lake,64 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,32,,,,1.5120000000
MySQL,Single-AZ,EU-InstanceUsage:db.r6g.2xl,eu-west-1,db.r6g.2xlarge,Memory optimized,8,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,16,,,,0.9490000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.x2g.8xlarge,eu-west-1,db.x2g.8xlarge,Memory optimized,32,,AWS Graviton2,512 GiB,EBS Only,12 gigabit,64-bit,,No license required,X2G,128,,,,12.5120000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.r6g.12xl,eu-west-1,db.r6g.12xlarge,Memory optimized,48,,AWS Graviton2,384 GiB,EBS Only,20 Gigabit,64-bit,,No license required,R6G,192,,,,11.3840000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.r6i.16xl,eu-west-1,db.r6i.16xlarge,Memory optimized,64,,Intel Xeon Scalable Ice Lake,512 GiB,EBS Only,25 Gbps,x86,,No license required,R6i,128,,,,8.9600000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.m6g.large,eu-west-1,db.m6g.large,General purpose,2,,AWS Graviton2,8 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,8,,,,0.3360000000
Aurora PostgreSQL,Single-AZ,EU-InstanceUsage:db.r5.large,eu-west-1,db.r5.large,Memory optimized,2,Up to 3.1 GHz,Intel Xeon Platinum 8175,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,4,Up to 3500 Mbps,Yes,,0.3200000000
PostgreSQL,Multi-AZ (readable standbys),EU-Multi-AZClusterUsage:db.r6gd.8xl,eu-west-1,db.r6gd.8xlarge,Memory optimized,32,,AWS Graviton2,256 GiB,1 x 1900 NVMe SSD,10 Gigabit,64-bit,,No license required,R6GD,192,,,,12.9410000000
MySQL,Single-AZ,EU-InstanceUsage:db.m5.16xl,eu-west-1,db.m5.16xlarge,General purpose,64,,Intel Xeon Platinum 8175,256 GiB,EBS Only,20 Gigabit,64-bit,,No license required,M5,128,,,,6.0500000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.x2g.large,eu-west-1,db.x2g.large,Memory optimized,2,,AWS Graviton2,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,8,,,,0.7820000000
MySQL,Single-AZ,EU-InstanceUsage:db.r5.12xl,eu-west-1,db.r5.12xlarge,Memory optimized,48,Up to 3.1 GHz,Intel Xeon Platinum 8175,384 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R5,96,7000 Mbps,Yes,,6.3600000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.t4g.xlarge,eu-west-1,db.t4g.xlarge,General purpose,4,,AWS Graviton2,16 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,16,,,,0.5540000000
MySQL,Single-AZ,EU-InstanceUsage:db.m6g.4xl,eu-west-1,db.m6g.4xlarge,General purpose,16,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,32,,,,1.3440000000
MySQL,Single-AZ,EU-InstanceUsage:db.r5.8xl,eu-west-1,db.r5.8xlarge,Memory optimized,32,,Intel Xeon Platinum 8175,256 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R5,64,,,,4.2400000000
Aurora MySQL,Single-AZ,EU-InstanceUsage:db.t3.large,eu-west-1,db.t3.large,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),8 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,4,,,,0.1760000000
MySQL,Single-AZ,EU-InstanceUsage:db.x2g.xlarge,eu-west-1,db.x2g.xlarge,Memory optimized,4,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,8,,,,0.7820000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.r6i.16xl,eu-west-1,db.r6i.16xlarge,Memory optimized,64,,Intel Xeon Scalable Ice Lake,512 GiB,EBS Only,25 Gbps,x86,,No license required,R6i,256,,,,17.9200000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.r5.8xl,eu-west-1,db.r5.8xlarge,Memory optimized,32,,Intel Xeon Platinum 8175,256 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R5,64,,,,4.4800000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.x2g.16xlarge,eu-west-1,db.x2g.16xlarge,Memory optimized,64,,AWS Graviton2,1024 GiB,EBS Only,25 Gigabit,64-bit,,No license required,X2G,256,,,,25.0240000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.m6i.4xl,eu-west-1,db.m6i.4xlarge,General purpose,16,,Intel Xeon Scalable Ice Lake,64 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,32,,,,1.5760000000
MySQL,Single-AZ,EU-InstanceUsage:db.x2g.4xlarge,eu-west-1,db.x2g.4xlarge,Memory optimized,16,,AWS Graviton2,256 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,32,,,,3.1280000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.r6i.large,eu-west-1,db.r6i.large,Memory optimized,2,,Intel Xeon Scalable Ice Lake,16 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,R6i,8,,,,0.5600000000
MySQL,Single-AZ,EU-InstanceUsage:db.t3.xl,eu-west-1,db.t3.xlarge,General purpose,4,,Intel Skylake E5 2686 v5 (2.5 GHz),16 GiB,EBS Only,Moderate,64-bit,,No license required,T3,8,,,,0.2880000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.m6i.12xl,eu-west-1,db.m6i.12xlarge,General purpose,48,,Intel Xeon Scalable Ice Lake,192 GiB,EBS Only,18.75 Gbps,x86,,No license required,M6i,192,,,,9.4560000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.t4g.micro,eu-west-1,db.t4g.micro,General purpose,2,,AWS Graviton2,1 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,0.5,,,,0.0170000000
PostgreSQL,Multi-AZ (readable standbys),EU-Multi-AZClusterUsage:db.r6gd.12xl,eu-west-1,db.r6gd.12xlarge,Memory optimized,48,,AWS Graviton2,384 GiB,2 x 1425 NVMe SSD,20 Gigabit,64-bit,,No license required,R6GD,288,,,,19.4110000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.t4g.large,eu-west-1,db.t4g.large,General purpose,2,,AWS Graviton2,8 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,8,,,,0.2770000000
Aurora PostgreSQL,Single-AZ,EU-InstanceUsage:db.r6i.24xl,eu-west-1,db.r6i.24xlarge,Memory optimized,96,,Intel Xeon Scalable Ice Lake,768 GiB,EBS Only,37.5 Gbps,x86,,No license required,R6i,192,,,,15.3600000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.r6i.8xl,eu-west-1,db.r6i.8xlarge,Memory optimized,32,,Intel Xeon Scalable Ice Lake,256 GiB,EBS Only,12.5 Gbps,x86,,No license required,R6i,64,,,,4.4800000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.r6i.24xl,eu-west-1,db.r6i.24xlarge,Memory optimized,96,,Intel Xeon Scalable Ice Lake,768 GiB,EBS Only,37.5 Gbps,x86,,No license required,R6i,192,,,,13.4400000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.r6i.12xl,eu-west-1,db.r6i.12xlarge,Memory optimized,48,,Intel Xeon Scalable Ice Lake,384 GiB,EBS Only,18.75 Gbps,x86,,No license required,R6i,96,,,,6.7200000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.t4g.medium,eu-west-1,db.t4g.medium,General purpose,2,,AWS Graviton2,4 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,4,,,,0.1380000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.r6i.24xl,eu-west-1,db.r6i.24xlarge,Memory optimized,96,,Intel Xeon Scalable Ice Lake,768 GiB,EBS Only,37.5 Gbps,x86,,No license required,R6i,384,,,,26.8800000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.t3.small,eu-west-1,db.t3.small,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),2 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,1,,,,0.0390000000
Aurora PostgreSQL,Single-AZ,EU-InstanceUsage:db.r6g.4xl,eu-west-1,db.r6g.4xlarge,Memory optimized,16,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,32,,,,2.2910000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.t4g.small,eu-west-1,db.t4g.small,General purpose,2,,AWS Graviton2,2 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,2,,,,0.0690000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.r5.xl,eu-west-1,db.r5.xlarge,Memory optimized,4,Up to 3.1 GHz,Intel Xeon Platinum 8175,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,16,Up to 3500 Mbps,Yes,,1.0600000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.t4g.micro,eu-west-1,db.t4g.micro,General purpose,2,,AWS Graviton2,1 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,1,,,,0.0350000000
Aurora PostgreSQL,Single-AZ,EU-InstanceUsage:db.r6g.8xl,eu-west-1,db.r6g.8xlarge,Memory optimized,32,,AWS Graviton2,256 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R6G,64,,,,4.5820000000
Aurora MySQL,Single-AZ,EU-InstanceUsage:db.r5.24xl,eu-west-1,db.r5.24xlarge,Memory optimized,96,Up to 3.1 GHz,Intel Xeon Platinum 8175,768 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R5,192,14000 Mbps,Yes,,15.3600000000
MySQL,Single-AZ,EU-InstanceUsage:db.m6i.8xl,eu-west-1,db.m6i.8xlarge,General purpose,32,,Intel Xeon Scalable Ice Lake,128 GiB,EBS Only,12.5 Gbps,x86,,No license required,M6i,64,,,,3.0240000000
Aurora PostgreSQL,Single-AZ,EU-InstanceUsage:db.r6i.12xl,eu-west-1,db.r6i.12xlarge,Memory optimized,48,,Intel Xeon Scalable Ice Lake,384 GiB,EBS Only,18.75 Gbps,x86,,No license required,R6i,96,,,,7.6800000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.r5.2xl,eu-west-1,db.r5.2xlarge,Memory optimized,8,Up to 3.1 GHz,Intel Xeon Platinum 8175,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,32,Up to 3500 Mbps,Yes,,2.1200000000
Aurora MySQL,Single-AZ,EU-InstanceUsage:db.r6g.4xl,eu-west-1,db.r6g.4xlarge,Memory optimized,16,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,32,,,,2.2910000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.m5.4xl,eu-west-1,db.m5.4xlarge,General purpose,16,2.5 GHz,Intel Xeon Platinum 8175,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,64,2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",3.1520000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.r6g.4xl,eu-west-1,db.r6g.4xlarge,Memory optimized,16,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,64,,,,4.0280000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.m5.16xl,eu-west-1,db.m5.16xlarge,General purpose,64,,Intel Xeon Platinum 8175,256 GiB,EBS Only,20 Gigabit,64-bit,,No license required,M5,256,,,,12.6080000000
PostgreSQL,Multi-AZ,EU-Multi-AZUsage:db.m6g.xl,eu-west-1,db.m6g.xlarge,General purpose,4,,AWS Graviton2,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,16,,,,0.7040000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.r6g.16xl,eu-west-1,db.r6g.16xlarge,Memory optimized,64,,AWS Graviton2,512 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R6G,128,,,,8.0570000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.r5.24xl,eu-west-1,db.r5.24xlarge,Memory optimized,96,Up to 3.1 GHz,Intel Xeon Platinum 8175,768 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R5,384,14000 Mbps,Yes,,25.4400000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.r6g.xl,eu-west-1,db.r6g.xlarge,Memory optimized,4,,AWS Graviton2,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,16,,,,0.9490000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.m6i.24xl,eu-west-1,db.m6i.24xlarge,General purpose,96,,Intel Xeon Scalable Ice Lake,384 GiB,EBS Only,37.5 Gbps,x86,,No license required,M6i,384,,,,18.1440000000
MySQL,Multi-AZ (readable standbys),EU-Multi-AZClusterUsage:db.m5d.xl,eu-west-1,db.m5d.xlarge,General purpose,4,,Intel Xeon Platinum 8175,16 GiB,1 x 150 NVMe SSD,Up to 10 Gbps,64-bit,,No license required,M5d,24,,,,1.2960000000
PostgreSQL,Multi-AZ (readable standbys),EU-Multi-AZClusterUsage:db.m5d.2xl,eu-west-1,db.m5d.2xlarge,General purpose,8,,Intel Xeon Platinum 8175,32 GiB,1 x 300 NVMe SSD,Up to 10 Gbps,64-bit,,No license required,M5d,48,,,,2.5920000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.m5.xl,eu-west-1,db.m5.xlarge,General purpose,4,2.5 GHz,Intel Xeon Platinum 8175,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,16,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",0.7560000000
Aurora PostgreSQL,Single-AZ,EU-InstanceUsage:db.x2g.2xlarge,eu-west-1,db.x2g.2xlarge,Memory optimized,8,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,16,,,,1.7760000000
MySQL,Single-AZ,EU-InstanceUsage:db.m5.xl,eu-west-1,db.m5.xlarge,General purpose,4,2.5 GHz,Intel Xeon Platinum 8175,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,8,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",0.3780000000
PostgreSQL,Multi-AZ (readable standbys),EU-Multi-AZClusterUsage:db.r5d.24xl,eu-west-1,db.r5d.24xlarge,Memory optimized,96,,Intel Xeon Platinum 8175,768 GiB,4 x 900 NVMe SSD,25 Gbps,64-bit,,No license required,R5d,576,,,,43.0660000000
Aurora PostgreSQL,Single-AZ,EU-InstanceUsage:db.r6i.32xl,eu-west-1,db.r6i.32xlarge,Memory optimized,128,,Intel Xeon Scalable Ice Lake,1024 GiB,EBS Only,50 Gbps,x86,,No license required,R6i,256,,,,20.4800000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.r6g.4xl,eu-west-1,db.r6g.4xlarge,Memory optimized,16,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,64,,,,3.7950000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.r6i.32xl,eu-west-1,db.r6i.32xlarge,Memory optimized,128,,Intel Xeon Scalable Ice Lake,1024 GiB,EBS Only,50 Gbps,x86,,No license required,R6i,256,,,,17.9200000000
MySQL,Single-AZ,EU-InstanceUsage:db.m6g.8xl,eu-west-1,db.m6g.8xlarge,General purpose,32,,AWS Graviton2,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M6G,64,,,,2.6880000000
Aurora MySQL,Single-AZ,EU-InstanceUsage:db.t4g.large,eu-west-1,db.t4g.large,General purpose,2,,AWS Graviton2,8 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,4,,,,0.1560000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.m6i.4xl,eu-west-1,db.m6i.4xlarge,General purpose,16,,Intel Xeon Scalable Ice Lake,64 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,64,,,,3.0240000000
MySQL,Multi-AZ,EU-Multi-AZUsage:db.r6i.8xl,eu-west-1,db.r6i.8xlarge,Memory optimized,32,,Intel Xeon Scalable Ice Lake,256 GiB,EBS Only,12.5 Gbps,x86,,No license required,R6i,128,,,,8.4800000000
MySQL,Single-AZ,EU-InstanceUsage:db.r6i.12xl,eu-west-1,db.r6i.12xlarge,Memory optimized,48,,Intel Xeon Scalable Ice Lake,384 GiB,EBS Only,18.75 Gbps,x86,,No license required,R6i,96,,,,6.3600000000
Aurora PostgreSQL,Single-AZ,EU-InstanceUsage:db.r6g.12xl,eu-west-1,db.r6g.12xlarge,Memory optimized,48,,AWS Graviton2,384 GiB,EBS Only,20 Gigabit,64-bit,,No license required,R6G,96,,,,6.8740000000
PostgreSQL,Multi-AZ (readable standbys),EU-Multi-AZClusterUsage:db.m6gd.16xl,eu-west-1,db.m6gd.16xlarge,General purpose,64,,AWS Graviton2,256 GiB,2 x 1900 NVMe SSD,25 Gigabit,64-bit,,No license required,M6GD,384,,,,18.4700000000
MySQL,Multi-AZ (readable standbys),EU-Multi-AZClusterUsage:db.r6gd.8xl,eu-west-1,db.r6gd.8xlarge,Memory optimized,32,,AWS Graviton2,256 GiB,1 x 1900 NVMe SSD,10 Gigabit,64-bit,,No license required,R6GD,192,,,,12.9410000000
PostgreSQL,Single-AZ,EU-InstanceUsage:db.r6i.2xl,eu-west-1,db.r6i.2xlarge,Memory optimized,8,,Intel Xeon Scalable Ice Lake,64 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,R6i,16,,,,1.1200000000
